Birth rate	Life expectancy
1.822	74.828243902
3.869	70.819487805
3.911	72.150658537
5.578	61.999853659
1.579	73.927658537
4.229	67.465195122
1.15	81.641463415
3.86	72.306390244
3.142	68.484317073
3.951	62.440609756
2.16	80.702439024
2.141	76.301682927
2.002	64.662097561
2.504	68.19497561
3.451	68.764829268
2.635	74.024560976
1.092	80.775317073
2.747	67.064
1.22	80.76195122
1.39	82.932682927
2.117	68.889658537
1.108	82.87804878
2.47	75.994268293
2.09	75.076878049
2.668	69.225829268
2.022	68.532146341
1.598	73.273097561
2.581	62.536219512
2.042	77.93202439
1.92	81.695121951
2.499	68.001
1.94	80.402439024
1.445	70.275609756
2.399	64.863512195
2.088	73.696658537
3.297	67.259902439
1.5	82.246341463
1.98	81.451219512
1.39	81.626829268
1.57	79.42195122
1.4	75.112195122
1.4	73.936585366
1.54	68.804878049
1.38	73.458536585
1.32	79.026829268
1.38	76.246341463
1.95	80.997560976
1.79	80.702439024
1.656	74.311097561
1.475	68.903707317
1.422	74.618853659
1.63	80.087804878
1.55	73.268292683
1.17	73.482926829
2.898	69.368463415
2.2893	69.884390244
2.59	68.295365854
1.4	81.736585366
2.07	80.29195122
2.2	81.451219512
1.25	74.207317073
1.44	80.387804878
1.39	79.987804878
1.555	73.327341463
2	81.368292683
1.87	79.870731707
1.63	75.429268293
1.87	79.1
1.49	77.424390244
1.476	79.380390244
1.46	76.475609756
1.46	79.832
1.49	73.512195122
1.148	75.400439024
1.84	79.936585366
1.44	70.404878049
2.3	70.506512195
1.44	80.382926829
1.736	73.783560976
1.536	76.90095122
1.8	79.189439024
2.49	74.127317073
1.9856	76.236829268
1.639	69.755
1.896	75.222121951
2.336	70.335317073
2.064	72.112536585
1.98	74.439902439
1.797	78.913292683
2.501	73.76497561
2.954	72.277
2.484	75.974243902
2.622	73.729219512
2.32	76.683780488
2.329	72.847121951
3.139	72.825926829
3.34	61.763
2.262	69.549146341
3.983	70.825414634
2.235	75.660439024
2.25	71.732365854
2.479	75.462292683
2.58	73.20002439
1.467	78.964146341
1.848	79.192609756
2.1	73.429682927
1.862	78.885731707
1.83	73.099536585
3.348	66.268560976
2.79	75.83995122
1.551	76.572829268
1.699	74.975170732
2.211	75.632146341
5.2	65.030463415
4.453	72.643682927
1.749	76.573609756
2.04	74.6
2.934	75.702560976
2.811	73.850414634
2.271	78.097585366
2.309	73.124609756
2.279	71.864634146
1.38	80.948780488
2.564	74.753121951
1.8	72.408756098
2.295	74.604731707
3.8	73.289658537
3.03	81.504878049
4.702	68.48604878
1.67	72.751853659
2.733	72.975268293
3.75	57.527390244
2.54	75.023829268
2.264	72.852536585
2.1	78.241463415
1.677	80.797804878
1.764	79.288536585
2.313	74.722609756
3.423	65.198853659
2.727	68.394829268
1.752	76.551414634
2.625	65.131341463
2.399	66.908853659
2.245	68.634804878
6.288	48.282195122
3.29	49.860878049
6.258	48.455487805
6.149	53.614634146
4.072	56.588707317
4.896	58.16002439
5.544	57.387487805
3.364	48.342804878
4.4	61.108243902
2.458	52.081487805
6.339	50.895536585
4.982	47.402195122
2.5	73.034146341
4.819	58.954073171
5.371	55.057121951
5.525	51.41002439
7.063	54.265634146
3.217	62.070097561
4.912	49.696926829
1.47	72.967317073
4.533	58.21695122
6.294	50.954829268
5.99	53.462634146
4.651	66.467073171
5.238	56.147585366
3.199	47.365073171
4.718	56.497073171
5.063	47.700658537
5.246	53.638585366
4.17	63.837268293
3.25	62.286682927
4.193	58.715097561
4.453	60.994195122
5.185	50.840804878
5.775	48.069585366
4.544	56.960195122
4.919	60.626268293
5.981	49.194829268
4.631	47.618463415
2.405	73.77404878
4.487	51.062756098
4.338	49.877219512
5.85	54.924195122
2.75	53.109512195
5.287	55.585585366
5.443	50.653658537
